alcohol,category,country,price,rating,region,varietal,vintage
13.0,White,Portugal,45.0,92,Lisboa,Viognier,2015.0
14.0,White,Portugal,18.0,90,Lisboa,Portuguese White,2015.0
13.0,White,Portugal,20.0,90,Lisboa,Portuguese White,2015.0
13.0,White,Portugal,45.0,90,Vinho Verde,Alvarinho,2015.0
14.0,White,Portugal,20.0,90,Alentejo,Portuguese White,2015.0
13.5,White,Portugal,35.0,90,Alentejano,Portuguese White,2014.0
12.5,White,Portugal,20.0,90,Alentejano,Portuguese White,2015.0
13.0,White,Portugal,25.0,90,Lisboa,Chardonnay,2014.0
13.5,White,Portugal,25.0,90,Douro,Portuguese White,2014.0
13.0,White,Portugal,25.0,89,Lisboa,Portuguese White,2015.0
13.0,White,Portugal,13.0,89,Lisboa,Portuguese White,2015.0
11.0,White,Portugal,50.0,88,Bairrada,Cercial,2014.0
12.0,White,Portugal,30.0,88,Colares,Malvasia,2013.0
12.5,White,Portugal,15.0,88,Lisboa,Portuguese White,2015.0
11.5,White,Portugal,18.0,88,Bairrada,Arinto,2015.0
13.0,White,Portugal,25.0,88,Lisboa,Jampal,2014.0
12.5,White,Portugal,17.0,88,Bucelas,Arinto,2013.0
14.0,White,Portugal,15.0,89,Douro,Portuguese White,2015.0
13.5,White,Portugal,14.0,87,Lisboa,Portuguese White,2015.0
12.5,White,Portugal,20.0,86,Minho,Alvarinho,2015.0
11.5,White,Portugal,15.0,87,Bairrada,Portuguese White,2015.0
13.0,White,Portugal,12.0,87,Lisboa,Portuguese White,2015.0
12.5,White,Portugal,12.0,87,Lisboa,Portuguese White,2015.0
12.5,White,Portugal,15.0,87,Lisboa,Chardonnay,2015.0
12.5,White,Portugal,10.0,87,Douro,Portuguese White,2015.0
13.0,White,Portugal,12.0,88,Douro,Portuguese White,2015.0
12.0,White,Portugal,15.0,86,Douro,Portuguese White,2015.0
10.5,White,Portugal,10.0,84,Vinho Verde,Portuguese White,2015.0
12.5,White,Portugal,7.0,84,Lisboa,Portuguese White,2015.0
12.5,White,Portugal,10.0,85,Alentejano,Portuguese White,2015.0
13.0,White,Portugal,17.0,85,Lisboa,Viognier,2014.0
13.0,White,Portugal,17.0,85,Lisboa,Chardonnay,2014.0
12.5,White,Portugal,8.0,85,Portuguese Table Wine,Portuguese White,2015.0
12.5,White,Portugal,13.0,85,Alentejano,Portuguese White,2015.0
12.5,White,Portugal,11.0,85,Lisboa,Portuguese White,2015.0
12.0,White,Portugal,14.0,86,Bairrada,Bical,2014.0
13.0,White,Portugal,15.0,86,Lisboa,Portuguese White,2015.0
13.0,White,Portugal,10.0,83,Alentejano,Portuguese White,2014.0
12.5,White,Portugal,28.0,92,Lisboa,Portuguese White,2014.0
13.5,White,Portugal,30.0,91,Douro,Portuguese White,2014.0
13.5,White,Portugal,40.0,91,Bairrada,Arinto,2012.0
13.0,White,Portugal,20.0,91,Dão,Portuguese White,2015.0
13.5,White,Portugal,19.0,91,Alentejano,Portuguese White,2013.0
13.0,White,Portugal,25.0,89,Tejo,Portuguese White,2014.0
13.0,White,Portugal,20.0,89,Douro,Portuguese White,2015.0
12.5,White,Portugal,20.0,90,Tejo,Sauvignon Blanc,2015.0
13.5,White,Portugal,15.0,90,Tejo,Portuguese White,2015.0
13.0,White,Portugal,15.0,88,Tejo,Verdelho,2015.0
13.0,White,Portugal,15.0,88,Dão,Portuguese White,2015.0
12.5,White,Portugal,12.0,88,Alentejano,Portuguese White,2015.0
13.5,White,Portugal,14.0,88,Alentejano,Viognier,2015.0
13.0,White,Portugal,15.0,88,Douro,Portuguese White,2015.0
13.0,White,Portugal,18.0,88,Tejo,Arinto,2014.0
12.5,White,Portugal,7.0,87,Dão,Portuguese White,2015.0
13.0,White,Portugal,12.0,87,Dão,Portuguese White,2015.0
13.5,White,Portugal,14.0,88,Alentejano,Verdelho,2015.0
12.0,White,Portugal,18.0,88,Douro,Portuguese White,2015.0
13.0,White,Portugal,15.0,88,Douro,Portuguese White,2014.0
13.0,White,Portugal,14.0,88,Alentejano,Alvarinho,2015.0
13.5,White,Portugal,9.0,87,Tejo,Portuguese White,2015.0
13.5,White,Portugal,11.0,86,Douro,Portuguese White,2015.0
13.5,White,Portugal,8.0,86,Douro,Portuguese White,2015.0
12.5,White,Portugal,8.0,86,Dão,Portuguese White,2015.0
13.0,White,Portugal,17.0,86,Douro,Portuguese White,2015.0
12.5,White,Portugal,10.0,87,Alentejano,Portuguese White,2015.0
13.5,White,Portugal,13.0,86,Douro,Portuguese White,2015.0
12.5,White,Portugal,10.0,84,Lisboa,Portuguese White,2015.0
13.0,White,Portugal,10.0,85,Douro,Portuguese White,2015.0
9.5,White,Portugal,7.0,85,Vinho Verde,Portuguese White,2015.0
12.5,White,Portugal,12.0,85,Tejo,Portuguese White,2015.0
13.0,White,Portugal,9.0,85,Alentejano,Portuguese White,2015.0
13.0,White,Portugal,7.0,85,Alentejano,Portuguese White,2015.0
12.5,White,Portugal,12.0,85,Tejo,Arinto,2015.0
13.5,White,Portugal,24.0,92,Douro,Portuguese White,2015.0
14.0,White,Portugal,25.0,90,Douro,Portuguese White,2014.0
13.5,White,Portugal,27.0,90,Douro,Portuguese White,2015.0
14.0,White,Portugal,19.0,90,Alentejo,Portuguese White,2013.0
13.0,White,Portugal,15.0,90,Tejo,Portuguese White,2015.0
13.5,White,Portugal,15.0,89,Dão,Encruzado,2015.0
13.5,White,Portugal,16.0,89,Douro,Portuguese White,2015.0
13.0,White,Portugal,15.0,89,Tejo,Fernão Pires,2015.0
13.5,White,Portugal,14.0,88,Alentejano,Portuguese White,2015.0
13.0,White,Portugal,15.0,88,Beira Interior,Portuguese White,2015.0
13.0,White,Portugal,15.0,88,Douro,Portuguese White,2015.0
13.0,White,Portugal,13.0,89,Lisboa,Portuguese White,2015.0
13.0,White,Portugal,13.0,87,Tejo,Fernão Pires,2015.0
13.0,White,Portugal,15.0,87,Tejo,Fernão Pires,2015.0
12.0,White,Portugal,18.0,88,Douro,Códega do Larinho,2015.0
13.0,White,Portugal,10.0,88,Lisboa,Portuguese White,2015.0
13.0,White,Portugal,16.0,88,Dão,Portuguese White,2015.0
13.0,White,Portugal,20.0,88,Vinho Verde,Alvarinho,2014.0
12.0,White,Portugal,30.0,88,Bairrada,Verdelho,2014.0
12.5,White,Portugal,15.0,88,Alentejano,Portuguese White,2015.0
12.5,White,Portugal,20.0,88,Vinho Verde,Alvarinho,2015.0
12.5,White,Portugal,10.0,86,Douro,Portuguese White,2015.0
13.0,White,Portugal,9.0,86,Alentejano,Portuguese White,2015.0
12.0,White,Portugal,22.0,87,Alentejano,Portuguese White,2015.0
13.5,White,Portugal,14.0,87,Alentejano,Portuguese White,2015.0
13.5,White,Portugal,13.0,87,Douro,Portuguese White,2015.0
13.0,White,Portugal,15.0,87,Vinho Verde,Alvarinho,2015.0
13.0,White,Portugal,13.0,87,Lisboa,Alvarinho,2015.0
13.5,White,Portugal,10.0,86,Douro,Portuguese White,2015.0
12.5,White,Portugal,10.0,84,Lisboa,Portuguese White,2015.0
13.0,White,Portugal,13.0,86,Tejo,Fernão Pires,2015.0
12.0,White,Portugal,9.0,84,Lisboa,Portuguese White,2015.0
9.5,White,Portugal,12.0,85,Lisboa,Portuguese White,2015.0
13.0,White,Portugal,12.0,85,Tejo,Sauvignon Blanc,2015.0
12.5,White,Portugal,10.0,85,Alentejano,Portuguese White,2015.0
12.5,White,Portugal,11.0,85,Península de Setúbal,Portuguese White,2015.0
12.5,White,Portugal,12.0,85,Douro,Portuguese White,2015.0
12.0,White,Portugal,9.0,85,Lisboa,Portuguese White,2015.0
12.5,White,Portugal,10.0,85,Beira Interior,Portuguese White,2015.0
13.5,White,Portugal,12.0,85,Alentejano,Portuguese White,2015.0
13.5,White,Portugal,40.0,92,Tejo,Fernão Pires,2011.0
12.5,White,Portugal,16.0,92,Vinho Verde,Alvarinho,2015.0
12.0,White,Portugal,16.0,92,Vinho Verde,Alvarinho,2014.0
13.0,White,Portugal,19.0,92,Dão,Encruzado,2013.0
12.0,White,Portugal,20.0,93,Vinho Verde,Alvarinho,2014.0
13.0,White,Portugal,14.0,83,Tejo,Arinto,2015.0
13.5,White,Portugal,10.0,84,Tejo,Portuguese White,2015.0
13.0,White,Portugal,28.0,91,Douro,Portuguese White,2013.0
12.5,White,Portugal,18.0,91,Vinho Verde,Alvarinho,2015.0
12.0,White,Portugal,20.0,92,Bairrada,Portuguese White,2014.0
11.0,White,Portugal,9.0,90,Vinho Verde,Portuguese White,2015.0
12.5,White,Portugal,20.0,90,Vinho Verde,Alvarinho,2015.0
12.5,White,Portugal,24.0,90,Alentejano,Sauvignon Blanc,2015.0
12.5,White,Portugal,20.0,90,Portuguese Table Wine,Chenin Blanc,2015.0
13.5,White,Portugal,15.0,90,Douro,Portuguese White,2014.0
13.5,White,Portugal,18.0,91,Vinho Verde,Portuguese White,2015.0
11.5,White,Portugal,18.0,88,Minho,Alvarinho,2015.0
11.5,White,Portugal,7.0,88,Vinho Verde,Portuguese White,2014.0
13.5,White,Portugal,36.0,89,Douro,Moscatel,2015.0
11.5,White,Portugal,12.0,89,Vinho Verde,Loureiro,2015.0
13.5,White,Portugal,16.0,89,Vinho Verde,Alvarinho,2015.0
12.5,White,Portugal,16.0,89,Vinho Verde,Portuguese White,2015.0
13.0,White,Portugal,12.0,89,Vinho Verde,Arinto,2015.0
12.5,White,Portugal,23.0,89,Vinho Verde,Alvarinho,2014.0
13.5,White,Portugal,27.0,89,Península de Setúbal,Antão Vaz,2015.0
12.0,White,Portugal,10.0,89,Vinho Verde,Portuguese White,2015.0
12.5,White,Portugal,13.0,88,Vinho Verde,Portuguese White,2015.0
11.5,White,Portugal,14.0,88,Vinho Verde,Loureiro,2015.0
12.5,White,Portugal,20.0,88,Vinho Verde,Alvarinho,2015.0
12.0,White,Portugal,8.0,88,Vinho Verde,Loureiro,2015.0
13.5,White,Portugal,12.0,88,Vinho Verde,Avesso,2015.0
12.5,White,Portugal,23.0,88,Tejo,Sauvignon Blanc,2015.0
12.5,White,Portugal,14.0,88,Minho,Alvarinho,2015.0
13.0,White,Portugal,17.0,88,Douro,Portuguese White,2015.0
12.5,White,Portugal,18.0,88,Vinho Verde,Portuguese White,2015.0
13.0,White,Portugal,19.0,87,Península de Setúbal,Verdelho,2015.0
12.5,White,Portugal,23.0,87,Península de Setúbal,Portuguese White,2015.0
13.0,White,Portugal,9.0,87,Tejo,Portuguese White,2015.0
12.5,White,Portugal,10.0,87,Alentejano,Verdelho,2015.0
11.0,White,Portugal,13.0,87,Vinho Verde,Loureiro,2015.0
12.5,White,Portugal,13.0,87,Alentejano,Portuguese White,2015.0
12.5,White,Portugal,20.0,87,Vinho Verde,Alvarinho,2014.0
13.5,White,Portugal,13.0,87,Douro,Portuguese White,2015.0
13.0,White,Portugal,16.0,87,Minho,Alvarinho,2015.0
12.5,White,Portugal,12.0,87,Alentejano,Alvarinho,2015.0
11.5,White,Portugal,11.0,87,Vinho Verde,Portuguese White,2015.0
13.5,White,Portugal,14.0,87,Douro,Portuguese White,2015.0
11.5,White,Portugal,13.0,87,Vinho Verde,Portuguese White,2015.0
12.0,White,Portugal,12.0,87,Vinho Verde,Portuguese White,2015.0
12.5,White,Portugal,9.0,87,Tejo,Portuguese White,2015.0
13.0,White,Portugal,15.0,87,Vinho Verde,Alvarinho,2015.0
11.5,White,Portugal,12.0,86,Vinho Verde,Portuguese White,2015.0
11.5,White,Portugal,11.0,85,Vinho Verde,Alvarinho,2015.0
13.5,White,Portugal,10.0,85,Douro,Portuguese White,2015.0
12.0,White,Portugal,15.0,86,Vinho Verde,Azal,2015.0
9.5,White,Portugal,9.0,86,Vinho Verde,Portuguese White,2015.0
12.5,White,Portugal,9.0,86,Alentejano,Portuguese White,2015.0
12.5,White,Portugal,14.0,86,Douro,Portuguese White,2015.0
12.5,White,Portugal,10.0,86,Vinho Verde,Portuguese White,2015.0
12.0,White,Portugal,15.0,86,Vinho Verde,Arinto,2015.0
13.0,White,Portugal,22.0,86,Península de Setúbal,Portuguese White,2015.0
13.0,White,Portugal,10.0,86,Lisboa,Portuguese White,2015.0
10.0,White,Portugal,6.0,86,Vinho Verde,Portuguese White,2015.0
12.5,White,Portugal,10.0,86,Vinho Verde,Portuguese White,2015.0
10.5,White,Portugal,10.0,86,Vinho Verde,Portuguese White,2015.0
12.5,White,Portugal,19.0,82,Lisboa,Sauvignon Blanc,2014.0
13.0,White,Portugal,7.0,83,Alentejano,Portuguese White,2014.0
10.5,White,Portugal,9.0,83,Vinho Verde,Portuguese White,2015.0
12.5,White,Portugal,12.0,84,Península de Setúbal,Portuguese White,2015.0
12.5,White,Portugal,14.0,85,Tejo,Portuguese White,2014.0
10.0,White,Portugal,11.0,85,Vinho Verde,Portuguese White,2015.0
13.0,White,Portugal,9.0,85,Lisboa,Portuguese White,2015.0
9.5,White,Portugal,8.0,85,Vinho Verde,Portuguese White,2015.0
13.0,White,Portugal,12.0,85,Alentejo,Antão Vaz,2015.0
12.0,White,Portugal,10.0,85,Lisboa,Portuguese White,2015.0
9.0,White,Portugal,8.0,85,Vinho Verde,Portuguese White,2015.0
13.0,White,Portugal,10.0,85,Alentejano,Portuguese White,2015.0
12.5,White,Portugal,8.0,85,Lisboa,Portuguese White,2015.0
13.0,White,Portugal,7.0,85,Tejo,Portuguese White,2015.0
13.0,White,Portugal,8.0,85,Alentejo,Portuguese White,2015.0
10.5,White,Portugal,10.0,85,Vinho Verde,Portuguese White,2015.0
13.0,White,Portugal,23.0,85,Península de Setúbal,Verdelho,2015.0
13.0,White,Portugal,8.0,85,Tejo,Portuguese White,2015.0
13.0,White,Portugal,80.0,93,Douro,Portuguese White,2017.0
14.5,White,Portugal,30.0,91,Douro,Portuguese White,2017.0
13.0,White,Portugal,18.0,90,Vinho Verde,Alvarinho,2016.0
13.0,White,Portugal,25.0,90,Douro,Portuguese White,2016.0
13.0,White,Portugal,18.0,89,Vinho Verde,Alvarinho,2017.0
13.0,White,Portugal,16.0,89,Alentejano,Portuguese White,2017.0
13.5,White,Portugal,27.0,89,Douro,Portuguese White,2017.0
13.0,White,Portugal,16.0,89,Alentejo,Antão Vaz,2016.0
13.5,White,Portugal,18.0,88,Lisboa,Portuguese White,2017.0
13.0,White,Portugal,20.0,88,Tejo,Alvarinho,2017.0
12.5,White,Portugal,20.0,88,Alentejano,Portuguese White,2017.0
13.5,White,Portugal,15.0,88,Alentejo,Portuguese White,2017.0
13.0,White,Portugal,9.0,88,Alentejano,Portuguese White,2017.0
13.0,White,Portugal,12.0,89,Alentejano,Portuguese White,2017.0
12.5,White,Portugal,10.0,88,Vinho Verde,Portuguese White,2017.0
12.5,White,Portugal,7.0,87,Minho,Fernão Pires,2017.0
13.0,White,Portugal,16.0,87,Tejo,Portuguese White,2017.0
12.5,White,Portugal,15.0,87,Lisboa,Arinto,2017.0
13.0,White,Portugal,12.0,87,Alentejano,Portuguese White,2017.0
14.0,White,Portugal,15.0,88,Douro,Portuguese White,2017.0
12.5,White,Portugal,10.0,87,Alentejo,Portuguese White,2017.0
12.5,White,Portugal,9.0,87,Portuguese Table Wine,Moscatel,2017.0
12.5,White,Portugal,15.0,87,Lisboa,Portuguese White,2017.0
13.0,White,Portugal,12.0,86,Lisboa,Portuguese White,2017.0
12.5,White,Portugal,11.0,86,Alentejo,Antão Vaz,2017.0
13.0,White,Portugal,9.0,86,Alentejano,Portuguese White,2017.0
13.0,White,Portugal,15.0,86,Douro,Portuguese White,2017.0
12.5,White,Portugal,14.0,86,Alentejano,Portuguese White,2017.0
